day,month,year,weekday,hour,minute,matchday,homeId,awayId,scoreHomeHt,scoreAwayHt,target
10.0,2.0,2024.0,6.0,15.0,0.0,31.0,59.0,70.0,3.0,1.0,1.0
10.0,2.0,2024.0,6.0,15.0,0.0,24.0,63.0,1044.0,2.0,0.0,1.0
19.0,9.0,2021.0,7.0,13.0,0.0,5.0,397.0,338.0,1.0,0.0,1.0
20.0,1.0,2024.0,6.0,15.0,0.0,28.0,70.0,332.0,0.0,1.0,0.0
12.0,3.0,2022.0,6.0,15.0,0.0,37.0,1076.0,356.0,1.0,1.0,1.0
12.0,8.0,2023.0,6.0,11.0,30.0,2.0,1076.0,343.0,1.0,0.0,1.0
11.0,9.0,2021.0,6.0,14.0,0.0,6.0,336.0,63.0,0.0,0.0,1.0
6.0,11.0,2022.0,7.0,12.0,0.0,15.0,61.0,57.0,0.0,0.0,0.0
3.0,1.0,2022.0,1.0,17.0,30.0,21.0,66.0,76.0,0.0,0.0,0.0
24.0,9.0,2023.0,7.0,15.0,30.0,6.0,356.0,67.0,0.0,3.0,0.0
27.0,4.0,2023.0,4.0,18.0,45.0,33.0,62.0,67.0,0.0,1.0,0.0
23.0,12.0,2023.0,6.0,15.0,0.0,23.0,338.0,385.0,0.0,0.0,1.0
11.0,12.0,2021.0,6.0,15.0,0.0,22.0,1081.0,357.0,0.0,0.0,1.0
4.0,12.0,2021.0,6.0,15.0,0.0,21.0,343.0,72.0,1.0,0.0,1.0
4.0,3.0,2023.0,6.0,15.0,0.0,35.0,385.0,69.0,1.0,0.0,1.0
30.0,9.0,2023.0,6.0,14.0,0.0,7.0,62.0,389.0,1.0,2.0,0.0
10.0,3.0,2022.0,4.0,19.0,30.0,19.0,76.0,346.0,3.0,0.0,1.0
28.0,11.0,2023.0,2.0,19.0,45.0,18.0,1076.0,1138.0,0.0,0.0,1.0
11.0,8.0,2023.0,5.0,19.0,0.0,1.0,328.0,65.0,0.0,2.0,0.0
26.0,12.0,2022.0,1.0,20.0,0.0,17.0,57.0,563.0,0.0,1.0,1.0
25.0,9.0,2021.0,6.0,14.0,0.0,9.0,72.0,394.0,1.0,0.0,1.0
2.0,4.0,2024.0,2.0,18.0,45.0,31.0,1044.0,354.0,0.0,0.0,1.0
12.0,11.0,2022.0,6.0,12.0,30.0,16.0,65.0,402.0,1.0,1.0,0.0
1.0,10.0,2022.0,6.0,14.0,0.0,9.0,63.0,67.0,0.0,3.0,0.0
12.0,11.0,2022.0,6.0,15.0,0.0,16.0,1044.0,62.0,2.0,0.0,1.0
17.0,12.0,2023.0,7.0,14.0,0.0,17.0,57.0,397.0,0.0,0.0,1.0
24.0,11.0,2021.0,3.0,19.0,45.0,19.0,357.0,72.0,0.0,0.0,0.0
4.0,5.0,2024.0,6.0,11.0,30.0,46.0,332.0,68.0,0.0,0.0,1.0
22.0,4.0,2023.0,6.0,11.0,30.0,32.0,63.0,341.0,0.0,0.0,1.0
14.0,8.0,2021.0,6.0,14.0,0.0,2.0,394.0,63.0,1.0,3.0,0.0
15.0,3.0,2023.0,3.0,19.0,45.0,37.0,322.0,328.0,0.0,1.0,0.0
7.0,10.0,2023.0,6.0,14.0,0.0,8.0,328.0,61.0,1.0,1.0,0.0
17.0,12.0,2022.0,6.0,15.0,0.0,23.0,1081.0,69.0,0.0,0.0,0.0
12.0,1.0,2023.0,4.0,20.0,0.0,7.0,63.0,61.0,1.0,0.0,1.0
2.0,11.0,2022.0,3.0,19.0,45.0,19.0,328.0,385.0,1.0,1.0,1.0
12.0,1.0,2024.0,5.0,20.0,0.0,27.0,322.0,68.0,0.0,1.0,0.0
17.0,2.0,2024.0,6.0,15.0,0.0,33.0,68.0,715.0,2.0,1.0,1.0
3.0,11.0,2023.0,5.0,20.0,0.0,15.0,338.0,341.0,0.0,0.0,0.0
28.0,5.0,2023.0,7.0,15.0,30.0,38.0,62.0,1044.0,0.0,0.0,1.0
16.0,9.0,2023.0,6.0,14.0,0.0,6.0,345.0,349.0,0.0,1.0,0.0
4.0,11.0,2023.0,6.0,15.0,0.0,11.0,328.0,354.0,0.0,1.0,0.0
16.0,4.0,2022.0,6.0,14.0,0.0,33.0,346.0,402.0,0.0,1.0,0.0
3.0,9.0,2022.0,6.0,14.0,0.0,8.0,1081.0,332.0,0.0,1.0,0.0
20.0,9.0,2023.0,3.0,19.0,0.0,7.0,68.0,338.0,0.0,1.0,0.0
30.0,10.0,2023.0,1.0,20.0,0.0,14.0,1076.0,74.0,0.0,1.0,0.0
2.0,9.0,2023.0,6.0,14.0,0.0,5.0,1138.0,59.0,1.0,0.0,1.0
4.0,5.0,2024.0,6.0,14.0,0.0,36.0,356.0,351.0,1.0,1.0,0.0
5.0,8.0,2023.0,6.0,14.0,0.0,1.0,68.0,322.0,1.0,1.0,1.0
22.0,1.0,2022.0,6.0,15.0,0.0,28.0,336.0,384.0,0.0,0.0,1.0
10.0,4.0,2024.0,3.0,19.0,0.0,42.0,72.0,70.0,1.0,0.0,1.0
2.0,4.0,2022.0,6.0,14.0,0.0,31.0,61.0,402.0,0.0,0.0,0.0
11.0,2.0,2023.0,6.0,15.0,0.0,31.0,75.0,394.0,0.0,0.0,1.0
8.0,5.0,2022.0,7.0,13.0,0.0,36.0,57.0,341.0,2.0,0.0,1.0
14.0,2.0,2023.0,2.0,19.0,45.0,32.0,68.0,322.0,1.0,1.0,1.0
23.0,2.0,2024.0,5.0,19.0,45.0,34.0,1076.0,1081.0,0.0,3.0,0.0
26.0,12.0,2023.0,2.0,17.0,30.0,19.0,328.0,64.0,0.0,1.0,0.0
20.0,10.0,2021.0,3.0,18.0,45.0,13.0,63.0,715.0,0.0,0.0,1.0
15.0,4.0,2022.0,5.0,14.0,0.0,42.0,332.0,1076.0,2.0,2.0,0.0
8.0,4.0,2023.0,6.0,14.0,0.0,30.0,76.0,61.0,1.0,0.0,1.0
30.0,11.0,2021.0,2.0,20.0,15.0,14.0,341.0,354.0,0.0,0.0,1.0
20.0,2.0,2024.0,2.0,19.0,30.0,18.0,65.0,402.0,0.0,0.0,1.0
6.0,4.0,2024.0,6.0,14.0,0.0,32.0,62.0,328.0,1.0,0.0,1.0
22.0,1.0,2022.0,6.0,15.0,0.0,28.0,72.0,1081.0,0.0,0.0,1.0
13.0,2.0,2022.0,7.0,14.0,0.0,25.0,73.0,76.0,0.0,2.0,0.0
8.0,10.0,2022.0,6.0,14.0,0.0,14.0,336.0,346.0,1.0,1.0,1.0
25.0,9.0,2021.0,6.0,14.0,0.0,9.0,59.0,715.0,3.0,0.0,1.0
1.0,5.0,2023.0,1.0,12.0,0.0,45.0,385.0,343.0,0.0,0.0,1.0
13.0,3.0,2022.0,7.0,16.0,30.0,29.0,57.0,338.0,1.0,0.0,1.0
26.0,8.0,2023.0,6.0,14.0,0.0,4.0,1081.0,72.0,0.0,1.0,1.0
23.0,10.0,2021.0,6.0,14.0,0.0,14.0,389.0,322.0,1.0,0.0,1.0
23.0,4.0,2022.0,6.0,14.0,0.0,34.0,65.0,346.0,3.0,1.0,1.0
21.0,4.0,2024.0,7.0,14.0,0.0,34.0,58.0,1044.0,1.0,1.0,1.0
13.0,4.0,2024.0,6.0,14.0,0.0,43.0,340.0,346.0,2.0,1.0,1.0
17.0,12.0,2023.0,7.0,14.0,0.0,17.0,402.0,58.0,1.0,0.0,0.0
2.0,4.0,2022.0,6.0,14.0,0.0,31.0,328.0,65.0,0.0,2.0,0.0
22.0,1.0,2022.0,6.0,15.0,0.0,23.0,341.0,67.0,0.0,0.0,0.0
19.0,10.0,2022.0,3.0,18.0,45.0,16.0,69.0,715.0,2.0,0.0,1.0
14.0,9.0,2021.0,2.0,18.0,45.0,7.0,1044.0,69.0,2.0,0.0,1.0
1.0,1.0,2024.0,1.0,15.0,0.0,26.0,69.0,715.0,0.0,1.0,0.0
28.0,10.0,2023.0,6.0,11.0,30.0,14.0,340.0,332.0,2.0,0.0,1.0
13.0,12.0,2023.0,3.0,19.0,45.0,21.0,338.0,384.0,0.0,1.0,1.0
14.0,1.0,2023.0,6.0,15.0,0.0,20.0,62.0,340.0,1.0,0.0,0.0
3.0,2.0,2024.0,6.0,17.0,30.0,23.0,356.0,58.0,0.0,4.0,0.0
22.0,5.0,2022.0,7.0,15.0,0.0,38.0,354.0,66.0,1.0,0.0,1.0
14.0,1.0,2023.0,6.0,12.0,30.0,20.0,66.0,65.0,0.0,0.0,1.0
15.0,2.0,2022.0,2.0,19.0,45.0,24.0,715.0,1076.0,0.0,0.0,1.0
9.0,10.0,2022.0,7.0,15.0,30.0,10.0,57.0,64.0,2.0,1.0,1.0
3.0,2.0,2024.0,6.0,15.0,0.0,30.0,72.0,1138.0,0.0,1.0,0.0
13.0,12.0,2023.0,3.0,20.0,0.0,21.0,343.0,322.0,1.0,0.0,0.0
19.0,2.0,2022.0,6.0,12.0,30.0,33.0,63.0,394.0,0.0,2.0,0.0
8.0,2.0,2022.0,2.0,19.0,45.0,31.0,342.0,322.0,2.0,0.0,1.0
12.0,2.0,2022.0,6.0,15.0,0.0,32.0,322.0,63.0,0.0,0.0,0.0
7.0,5.0,2022.0,6.0,11.0,30.0,46.0,1044.0,384.0,0.0,0.0,1.0
18.0,2.0,2023.0,6.0,15.0,0.0,24.0,61.0,340.0,0.0,1.0,0.0
18.0,8.0,2021.0,3.0,19.0,0.0,3.0,74.0,356.0,1.0,0.0,1.0
19.0,1.0,2022.0,3.0,19.0,30.0,17.0,338.0,73.0,1.0,1.0,0.0
2.0,5.0,2024.0,4.0,18.0,30.0,26.0,61.0,73.0,1.0,0.0,1.0
25.0,11.0,2023.0,6.0,17.0,30.0,13.0,402.0,57.0,0.0,0.0,0.0
1.0,1.0,2022.0,6.0,17.0,30.0,21.0,354.0,563.0,0.0,3.0,0.0
23.0,10.0,2021.0,6.0,11.0,30.0,14.0,715.0,343.0,0.0,1.0,0.0
24.0,2.0,2022.0,4.0,19.0,45.0,20.0,57.0,76.0,0.0,1.0,1.0
4.0,10.0,2022.0,2.0,19.0,0.0,13.0,715.0,59.0,0.0,0.0,1.0
7.0,10.0,2023.0,6.0,11.0,30.0,8.0,389.0,73.0,0.0,0.0,0.0
17.0,9.0,2022.0,6.0,11.0,30.0,8.0,76.0,65.0,0.0,2.0,0.0
11.0,9.0,2021.0,6.0,14.0,0.0,4.0,338.0,65.0,0.0,0.0,0.0
6.0,5.0,2023.0,6.0,16.0,30.0,35.0,64.0,402.0,1.0,0.0,1.0
7.0,10.0,2022.0,5.0,19.0,0.0,14.0,69.0,355.0,1.0,1.0,1.0
4.0,3.0,2023.0,6.0,15.0,0.0,26.0,76.0,73.0,0.0,0.0,1.0
24.0,4.0,2024.0,3.0,18.0,45.0,38.0,1076.0,322.0,1.0,2.0,0.0
30.0,9.0,2023.0,6.0,14.0,0.0,9.0,69.0,1076.0,0.0,0.0,0.0
20.0,8.0,2022.0,6.0,14.0,0.0,5.0,70.0,71.0,0.0,1.0,0.0
23.0,12.0,2023.0,6.0,15.0,0.0,18.0,389.0,67.0,1.0,0.0,1.0
14.0,1.0,2023.0,6.0,15.0,0.0,20.0,76.0,563.0,0.0,0.0,1.0
4.0,3.0,2023.0,6.0,15.0,0.0,26.0,61.0,341.0,0.0,0.0,1.0
2.0,3.0,2024.0,6.0,15.0,0.0,27.0,73.0,354.0,0.0,0.0,1.0
29.0,11.0,2023.0,3.0,20.0,0.0,18.0,349.0,384.0,3.0,0.0,1.0
20.0,8.0,2023.0,7.0,15.0,30.0,2.0,563.0,61.0,1.0,1.0,1.0
30.0,7.0,2022.0,6.0,14.0,0.0,1.0,322.0,387.0,0.0,1.0,1.0
3.0,4.0,2022.0,7.0,14.0,0.0,40.0,332.0,74.0,0.0,0.0,1.0
11.0,11.0,2022.0,5.0,20.0,0.0,21.0,332.0,71.0,0.0,1.0,0.0
21.0,10.0,2023.0,6.0,14.0,0.0,12.0,72.0,338.0,1.0,1.0,0.0
20.0,4.0,2024.0,6.0,14.0,0.0,34.0,389.0,402.0,0.0,2.0,0.0
1.0,1.0,2024.0,1.0,12.0,30.0,26.0,71.0,1081.0,2.0,0.0,1.0
4.0,2.0,2023.0,6.0,15.0,0.0,30.0,1081.0,387.0,0.0,2.0,0.0
21.0,8.0,2023.0,1.0,19.0,0.0,2.0,354.0,57.0,0.0,0.0,0.0
15.0,10.0,2021.0,5.0,19.0,0.0,12.0,74.0,332.0,0.0,0.0,1.0
16.0,2.0,2024.0,5.0,20.0,0.0,33.0,74.0,340.0,0.0,1.0,0.0
25.0,2.0,2023.0,6.0,15.0,0.0,34.0,387.0,322.0,0.0,0.0,1.0
11.0,3.0,2023.0,6.0,15.0,0.0,27.0,62.0,402.0,1.0,0.0,1.0
3.0,9.0,2022.0,6.0,14.0,0.0,6.0,351.0,1044.0,2.0,0.0,0.0
17.0,8.0,2021.0,2.0,19.0,0.0,3.0,355.0,387.0,1.0,2.0,0.0
1.0,2.0,2022.0,2.0,19.0,45.0,25.0,72.0,389.0,0.0,0.0,0.0
16.0,9.0,2023.0,6.0,14.0,0.0,5.0,63.0,389.0,0.0,0.0,1.0
2.0,1.0,2022.0,7.0,14.0,0.0,21.0,62.0,397.0,0.0,2.0,0.0
7.0,8.0,2021.0,6.0,14.0,0.0,1.0,389.0,1077.0,1.0,0.0,1.0
21.0,2.0,2023.0,2.0,19.0,45.0,29.0,72.0,70.0,1.0,2.0,0.0
21.0,8.0,2021.0,6.0,14.0,0.0,2.0,65.0,68.0,2.0,0.0,1.0
7.0,5.0,2022.0,6.0,11.0,30.0,46.0,1077.0,336.0,1.0,0.0,1.0
1.0,1.0,2022.0,6.0,12.0,30.0,21.0,57.0,65.0,1.0,0.0,0.0
12.0,12.0,2021.0,7.0,14.0,0.0,16.0,338.0,67.0,1.0,0.0,1.0
1.0,4.0,2023.0,6.0,11.0,30.0,39.0,1081.0,336.0,2.0,0.0,1.0
27.0,8.0,2022.0,6.0,14.0,0.0,6.0,322.0,1076.0,2.0,1.0,1.0
16.0,10.0,2021.0,6.0,14.0,0.0,8.0,58.0,76.0,0.0,0.0,0.0
4.0,2.0,2023.0,6.0,15.0,0.0,30.0,389.0,70.0,1.0,0.0,1.0
13.0,1.0,2024.0,6.0,15.0,0.0,27.0,74.0,59.0,3.0,0.0,1.0
13.0,1.0,2023.0,5.0,20.0,0.0,20.0,58.0,341.0,1.0,0.0,1.0
7.0,10.0,2023.0,6.0,14.0,0.0,8.0,62.0,1044.0,2.0,0.0,1.0
27.0,8.0,2023.0,7.0,11.0,0.0,4.0,346.0,59.0,0.0,0.0,0.0
23.0,10.0,2021.0,6.0,14.0,0.0,14.0,384.0,70.0,0.0,1.0,1.0
22.0,8.0,2021.0,7.0,13.0,0.0,2.0,76.0,73.0,0.0,1.0,0.0
10.0,2.0,2024.0,6.0,17.0,30.0,24.0,351.0,67.0,2.0,2.0,0.0
1.0,3.0,2022.0,2.0,19.0,45.0,23.0,715.0,342.0,0.0,0.0,1.0
14.0,8.0,2021.0,6.0,14.0,0.0,2.0,357.0,1076.0,1.0,0.0,1.0
11.0,1.0,2022.0,2.0,20.0,0.0,25.0,355.0,63.0,0.0,2.0,0.0
9.0,4.0,2022.0,6.0,14.0,0.0,32.0,340.0,61.0,0.0,4.0,0.0
30.0,10.0,2021.0,6.0,14.0,0.0,15.0,394.0,384.0,0.0,0.0,1.0
2.0,9.0,2023.0,6.0,11.0,30.0,5.0,72.0,387.0,1.0,0.0,0.0
10.0,2.0,2024.0,6.0,15.0,0.0,31.0,71.0,1138.0,0.0,1.0,1.0
20.0,10.0,2021.0,3.0,19.0,0.0,13.0,355.0,336.0,2.0,0.0,0.0
23.0,10.0,2021.0,6.0,14.0,0.0,14.0,336.0,1081.0,1.0,0.0,1.0
19.0,10.0,2021.0,2.0,18.0,45.0,13.0,387.0,351.0,1.0,0.0,0.0
30.0,9.0,2023.0,6.0,14.0,0.0,9.0,1081.0,74.0,0.0,2.0,0.0
2.0,10.0,2022.0,7.0,11.0,0.0,12.0,70.0,346.0,0.0,1.0,0.0
27.0,8.0,2022.0,6.0,14.0,0.0,6.0,384.0,355.0,0.0,1.0,0.0
20.0,5.0,2023.0,6.0,14.0,0.0,37.0,1044.0,66.0,0.0,1.0,0.0
14.0,8.0,2022.0,7.0,13.0,0.0,2.0,351.0,563.0,1.0,0.0,1.0
13.0,5.0,2023.0,6.0,14.0,0.0,36.0,66.0,76.0,1.0,0.0,1.0
21.0,1.0,2023.0,6.0,15.0,0.0,28.0,75.0,389.0,0.0,1.0,0.0
20.0,4.0,2024.0,6.0,14.0,0.0,44.0,71.0,384.0,0.0,0.0,0.0
30.0,10.0,2021.0,6.0,14.0,0.0,15.0,1081.0,389.0,2.0,0.0,1.0
12.0,3.0,2022.0,6.0,15.0,0.0,37.0,59.0,387.0,0.0,0.0,0.0
10.0,12.0,2023.0,7.0,14.0,0.0,16.0,62.0,61.0,0.0,0.0,1.0
30.0,4.0,2022.0,6.0,14.0,0.0,45.0,355.0,74.0,0.0,0.0,0.0
26.0,12.0,2021.0,7.0,15.0,0.0,19.0,563.0,340.0,0.0,1.0,0.0
1.0,4.0,2023.0,6.0,14.0,0.0,29.0,1044.0,63.0,0.0,1.0,1.0
28.0,4.0,2024.0,7.0,13.0,0.0,35.0,1044.0,397.0,1.0,0.0,1.0
9.0,2.0,2022.0,3.0,19.0,45.0,31.0,356.0,74.0,1.0,0.0,1.0
4.0,10.0,2023.0,3.0,19.0,0.0,10.0,385.0,387.0,0.0,0.0,0.0
13.0,2.0,2023.0,1.0,20.0,0.0,23.0,64.0,62.0,1.0,0.0,1.0
14.0,12.0,2021.0,2.0,20.0,0.0,17.0,65.0,341.0,3.0,0.0,1.0
28.0,10.0,2023.0,6.0,11.0,30.0,10.0,61.0,402.0,0.0,0.0,0.0
15.0,8.0,2021.0,7.0,13.0,0.0,1.0,67.0,563.0,2.0,1.0,0.0
12.0,3.0,2022.0,6.0,17.0,30.0,29.0,66.0,73.0,2.0,1.0,1.0
15.0,4.0,2022.0,5.0,14.0,0.0,42.0,356.0,355.0,0.0,1.0,0.0
2.0,10.0,2021.0,6.0,14.0,0.0,7.0,76.0,67.0,1.0,1.0,1.0
22.0,1.0,2022.0,6.0,15.0,0.0,28.0,74.0,1077.0,0.0,0.0,1.0
24.0,11.0,2021.0,3.0,19.0,45.0,19.0,387.0,70.0,1.0,0.0,1.0
6.0,11.0,2021.0,6.0,15.0,0.0,11.0,354.0,76.0,0.0,0.0,1.0
5.0,12.0,2023.0,2.0,20.0,15.0,15.0,389.0,57.0,1.0,2.0,0.0
24.0,4.0,2022.0,7.0,15.0,30.0,34.0,64.0,62.0,0.0,0.0,1.0
5.0,11.0,2022.0,6.0,15.0,0.0,15.0,76.0,397.0,2.0,2.0,0.0
15.0,10.0,2022.0,6.0,16.0,30.0,11.0,73.0,62.0,0.0,0.0,1.0
16.0,9.0,2023.0,6.0,11.0,30.0,5.0,76.0,64.0,1.0,0.0,0.0
22.0,1.0,2023.0,7.0,14.0,0.0,21.0,65.0,76.0,1.0,0.0,1.0
20.0,8.0,2022.0,6.0,14.0,0.0,5.0,356.0,59.0,1.0,0.0,1.0
28.0,11.0,2021.0,7.0,14.0,0.0,13.0,338.0,346.0,3.0,1.0,1.0
18.0,12.0,2021.0,6.0,15.0,0.0,23.0,59.0,332.0,1.0,0.0,1.0
28.0,12.0,2021.0,2.0,15.0,0.0,20.0,354.0,68.0,3.0,0.0,1.0
8.0,4.0,2023.0,6.0,14.0,0.0,30.0,73.0,397.0,1.0,1.0,1.0
25.0,1.0,2022.0,2.0,19.0,45.0,23.0,1076.0,70.0,0.0,0.0,1.0
25.0,5.0,2023.0,4.0,19.0,0.0,32.0,66.0,61.0,2.0,0.0,1.0
20.0,2.0,2024.0,2.0,19.0,45.0,29.0,349.0,385.0,3.0,1.0,1.0
7.0,10.0,2023.0,6.0,14.0,0.0,8.0,66.0,402.0,0.0,1.0,1.0
1.0,3.0,2022.0,2.0,19.0,45.0,22.0,328.0,338.0,0.0,0.0,0.0
29.0,9.0,2021.0,3.0,18.0,45.0,10.0,384.0,387.0,0.0,0.0,1.0
6.0,4.0,2024.0,6.0,11.0,30.0,41.0,68.0,349.0,1.0,0.0,1.0
29.0,3.0,2024.0,5.0,15.0,0.0,39.0,1081.0,385.0,3.0,0.0,1.0
26.0,12.0,2022.0,1.0,12.0,0.0,24.0,346.0,384.0,0.0,1.0,0.0
2.0,3.0,2024.0,6.0,15.0,0.0,35.0,332.0,340.0,2.0,1.0,0.0
11.0,5.0,2024.0,6.0,14.0,0.0,37.0,73.0,328.0,1.0,1.0,1.0
18.0,9.0,2021.0,6.0,14.0,0.0,8.0,1077.0,332.0,2.0,0.0,1.0
4.0,9.0,2022.0,7.0,11.0,0.0,8.0,355.0,70.0,1.0,1.0,1.0
23.0,11.0,2021.0,2.0,19.0,45.0,19.0,343.0,1081.0,1.0,0.0,0.0
2.0,10.0,2021.0,6.0,14.0,0.0,11.0,715.0,355.0,0.0,1.0,0.0
25.0,11.0,2023.0,6.0,17.0,30.0,17.0,74.0,349.0,1.0,0.0,1.0
2.0,9.0,2023.0,6.0,14.0,0.0,4.0,328.0,73.0,1.0,2.0,0.0
11.0,12.0,2021.0,6.0,15.0,0.0,22.0,72.0,351.0,0.0,0.0,0.0
26.0,4.0,2023.0,3.0,18.0,45.0,33.0,563.0,64.0,1.0,1.0,0.0
1.0,4.0,2024.0,1.0,19.0,0.0,40.0,341.0,322.0,1.0,1.0,1.0
22.0,10.0,2022.0,6.0,14.0,0.0,17.0,69.0,75.0,2.0,1.0,1.0
13.0,1.0,2024.0,6.0,15.0,0.0,27.0,384.0,343.0,1.0,1.0,0.0
10.0,4.0,2023.0,1.0,19.0,0.0,41.0,328.0,356.0,0.0,0.0,1.0
4.0,5.0,2024.0,6.0,11.0,30.0,46.0,72.0,384.0,0.0,0.0,0.0
29.0,11.0,2021.0,1.0,19.0,45.0,20.0,342.0,69.0,1.0,0.0,0.0
24.0,2.0,2024.0,6.0,15.0,0.0,34.0,343.0,1138.0,0.0,2.0,0.0
28.0,11.0,2023.0,2.0,20.0,0.0,18.0,346.0,68.0,2.0,2.0,1.0
3.0,11.0,2021.0,3.0,20.0,0.0,16.0,74.0,322.0,0.0,0.0,1.0
1.0,4.0,2023.0,6.0,14.0,0.0,39.0,75.0,69.0,1.0,0.0,1.0
7.0,10.0,2023.0,6.0,14.0,0.0,11.0,1138.0,72.0,1.0,0.0,0.0
25.0,2.0,2024.0,7.0,13.0,30.0,26.0,76.0,356.0,1.0,0.0,1.0
6.0,3.0,2022.0,7.0,16.0,30.0,28.0,65.0,66.0,2.0,1.0,1.0
11.0,9.0,2021.0,6.0,14.0,0.0,4.0,66.0,67.0,1.0,0.0,1.0
8.0,3.0,2022.0,2.0,19.0,45.0,26.0,72.0,63.0,0.0,0.0,0.0
11.0,3.0,2023.0,6.0,15.0,0.0,36.0,69.0,346.0,1.0,0.0,1.0
2.0,9.0,2023.0,6.0,14.0,0.0,5.0,74.0,394.0,0.0,1.0,0.0
9.0,4.0,2022.0,6.0,14.0,0.0,41.0,72.0,342.0,2.0,1.0,1.0
19.0,10.0,2021.0,2.0,18.0,45.0,13.0,70.0,1044.0,0.0,0.0,0.0
14.0,8.0,2021.0,6.0,14.0,0.0,2.0,74.0,389.0,2.0,0.0,1.0
14.0,8.0,2021.0,6.0,14.0,0.0,2.0,343.0,387.0,1.0,0.0,1.0
28.0,8.0,2021.0,6.0,14.0,0.0,5.0,384.0,336.0,0.0,0.0,1.0
2.0,12.0,2023.0,6.0,15.0,0.0,19.0,340.0,715.0,2.0,0.0,1.0
1.0,10.0,2023.0,7.0,11.0,0.0,9.0,59.0,338.0,1.0,2.0,0.0
